Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_MAPE,Test_MAPE,Train_RMSLE,Test_RMSLE
Linear Regression,0.906720188039221,0.9066883496845006,6931.935918372176,6934.441434335728,4534.355280541412,4514.549219449078,0.42074113615941483,0.41939512937085677,1.8987596028915603,1.8968866085977958
Ridge Regression,0.9067166402356203,0.9066832495955226,6932.067741715596,6934.630937923826,4534.3319212215865,4514.434413054081,0.4207432788295439,0.4193723805743858,1.8987582115919732,1.8965997999994488
Lasso Regression,0.9067164156844866,0.9066843277856156,6932.076085126131,6934.590876134598,4534.274323196309,4514.309793377828,0.4207354951585356,0.41935834050769344,1.8990494170670773,1.8967663921522364
Random Forest Regressor,0.9923604656640519,0.9852293751674683,1983.7829434677683,2758.94462044429,918.2993122056016,1243.7954282627736,0.06650243069294402,0.08797682102258177,0.11087127701174955,0.14936230905612374
