,duration,duration_minutes,days_left,price
duration,1.0,0.9999999292000205,-0.039192665201866976,0.20422160790673843
duration_minutes,0.9999999292000205,1.0,-0.03919371428927699,0.20422065594630814
days_left,-0.039192665201866976,-0.03919371428927699,1.0,-0.09197011195814203
price,0.20422160790673843,0.20422065594630814,-0.09197011195814203,1.0
