Feature,Importance
class_encoded,0.8861193578445813
duration_minutes,0.02957023463759902
duration,0.02748882582343237
days_left,0.014476207506841851
route_encoded,0.010932097131896181
airline_encoded,0.010730502960434391
destination_city_encoded,0.006807430524941287
arrival_time_encoded,0.0038843270961616246
departure_time_encoded,0.003657533938239895
source_city_encoded,0.003467877924597622
stops_encoded,0.0016673458480774566
booking_window_group_encoded,0.0011982587631971307
