Model,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Test_MAPE
Linear Regression,0.9046513013484061,0.9045095491103751,7008.3872896070425,7014.932902858823,0.4365647814483661
Random Forest,0.992589265834333,0.985376032591024,1953.8504788853452,2745.213681563316,0.08705947821046393
